Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,213.35,217.00,209.25,215.90,253100,215.90
2007-11-21,212.20,213.85,209.10,212.75,266000,212.75
2007-11-20,216.00,217.85,205.35,215.60,395800,215.60
2007-11-19,222.20,227.10,212.00,213.40,283800,213.40
2007-11-16,220.60,225.10,218.05,223.25,462300,223.25
2007-11-15,222.20,224.95,218.65,221.05,280500,221.05
2007-11-14,226.00,228.95,220.35,222.15,445700,222.15
2007-11-13,225.45,226.95,215.45,222.05,648000,222.05
2007-11-12,228.20,235.40,225.20,227.00,635600,227.00
2007-11-09,241.90,242.00,227.00,228.35,737300,228.35
2007-11-08,226.15,249.00,223.40,241.90,1019000,241.90
2007-11-07,218.00,233.95,217.95,228.05,844300,228.05
2007-11-06,213.90,217.30,213.15,216.55,181400,216.55
2007-11-05,212.40,213.20,210.40,212.60,140500,212.60
2007-11-02,209.80,213.70,209.30,213.25,167000,213.25
2007-11-01,211.95,214.35,207.15,211.90,210500,211.90
2007-10-31,210.40,213.55,208.00,213.00,226500,213.00
2007-10-30,214.50,214.50,208.00,209.65,168700,209.65
2007-10-29,215.20,217.95,212.50,213.90,174100,213.90
2007-10-26,210.75,215.95,209.50,215.00,231200,215.00
2007-10-25,209.00,212.20,208.00,209.30,262800,209.30
2007-10-24,205.00,209.95,204.00,205.90,282100,205.90
2007-10-23,201.00,205.55,200.30,204.55,365200,204.55
2007-10-22,200.75,203.80,194.20,200.00,255400,200.00
2007-10-19,209.75,211.50,205.30,206.35,194400,206.35
2007-10-18,211.95,214.75,206.00,209.00,252200,209.00
2007-10-17,209.05,214.80,209.05,212.00,172400,212.00
2007-10-16,207.90,210.70,200.75,209.50,369300,209.50
2007-10-15,217.60,218.00,207.25,208.10,370500,208.10
2007-10-12,216.45,219.30,213.00,217.50,271800,217.50
2007-10-11,212.10,219.00,211.35,218.25,581900,218.25
2007-10-10,210.55,212.30,209.50,212.05,289900,212.05
2007-10-09,206.70,211.25,205.45,210.50,534500,210.50
2007-10-08,202.95,209.95,201.50,206.95,276000,206.95
2007-10-05,196.95,202.95,192.50,202.95,188700,202.95
2007-10-04,201.50,201.60,196.90,196.90,351800,196.90
2007-10-03,196.10,202.90,195.05,201.60,346800,201.60
2007-10-02,191.00,198.75,190.75,196.15,344900,196.15
2007-10-01,190.80,192.80,187.00,190.35,253700,190.35
2007-09-28,189.75,192.05,186.10,190.70,303700,190.70
2007-09-27,191.10,192.65,187.60,189.15,259400,189.15
2007-09-26,186.05,190.00,186.05,188.55,194300,188.55
2007-09-25,190.95,191.70,184.15,184.50,322800,184.50
2007-09-24,187.10,194.90,185.00,191.75,371700,191.75
2007-09-21,184.85,187.70,182.25,186.70,412800,186.70
2007-09-20,184.70,187.40,181.75,185.65,336800,185.65
2007-09-19,180.05,187.15,180.05,186.55,819600,186.55
2007-09-18,162.00,178.90,161.75,178.70,567200,178.70
2007-09-17,166.80,166.80,161.55,165.50,275100,165.50
2007-09-14,170.65,171.00,163.10,166.90,474900,166.90
2007-09-13,165.40,172.25,161.00,171.25,346200,171.25
