Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,41.84,42.15,41.31,41.53,1428900,41.53
2007-11-21,41.61,42.10,41.19,41.64,2766600,41.64
2007-11-20,41.78,42.44,40.80,42.31,2439500,42.31
2007-11-19,43.29,43.74,41.64,41.75,2210500,41.75
2007-11-16,42.85,43.25,42.52,43.20,1451200,43.20
2007-11-15,43.29,43.45,42.62,43.00,1997300,43.00
2007-11-14,43.39,43.67,42.59,43.20,1977200,43.20
2007-11-13,43.16,43.16,42.20,42.80,2112200,42.80
2007-11-12,42.71,43.70,42.33,43.18,2093900,43.18
2007-11-09,43.95,44.15,42.50,42.95,2161100,42.95
2007-11-08,42.50,43.77,42.20,43.60,2949900,43.60
2007-11-07,43.30,43.79,42.70,43.26,2332900,43.26
2007-11-06,42.29,43.25,42.15,43.16,3010500,43.16
2007-11-05,41.83,42.38,41.13,42.03,2679400,42.03
2007-11-02,41.38,42.06,41.15,42.06,1862900,42.06
2007-11-01,42.50,42.70,41.42,42.09,1977900,42.09
2007-10-31,41.30,42.71,41.22,42.71,3683800,42.71
2007-10-30,41.00,41.35,40.71,41.22,1628300,41.22
2007-10-29,40.52,41.00,40.35,41.00,1928900,41.00
2007-10-26,39.39,40.29,39.14,40.16,2309400,40.16
2007-10-25,38.70,39.24,38.39,39.19,1645400,39.19
2007-10-24,38.63,38.97,37.92,38.19,1746000,38.19
2007-10-23,38.33,38.75,38.00,38.72,1971300,38.72
2007-10-22,37.79,38.20,37.44,38.04,2476600,38.04
2007-10-19,38.80,39.10,38.22,38.45,2391900,38.45
2007-10-18,39.18,40.05,38.65,38.87,2660000,38.87
2007-10-17,38.09,39.44,38.02,39.17,2880700,39.17
2007-10-16,38.63,38.66,38.04,38.16,1894100,38.16
2007-10-15,39.10,39.10,38.47,38.67,1907500,38.67
2007-10-12,39.01,39.01,38.01,38.58,2018100,38.58
2007-10-11,38.65,39.18,38.65,38.97,2229800,38.97
2007-10-10,38.09,38.70,37.93,38.61,2102100,38.61
2007-10-09,38.60,38.60,37.53,37.99,2360300,37.99
2007-10-08,39.31,39.88,38.35,38.49,2080700,38.49
2007-10-05,39.41,39.80,38.93,39.15,1815500,39.15
2007-10-04,40.38,40.38,39.11,39.24,2189200,39.24
2007-10-03,39.70,40.78,39.65,40.40,1918800,40.40
2007-10-02,39.81,40.07,38.90,39.70,3146500,39.70
2007-10-01,38.74,39.18,38.31,38.89,2030900,38.89
2007-09-28,38.45,38.90,37.24,38.70,2479400,38.70
2007-09-27,37.50,38.88,37.48,38.33,3327500,38.33
2007-09-26,35.48,36.87,35.48,36.81,2051800,36.81
2007-09-25,36.42,36.58,35.07,35.34,1639600,35.34
2007-09-24,36.71,37.59,36.25,36.68,1626400,36.68
2007-09-21,36.41,37.24,36.09,36.73,2289800,36.73
2007-09-20,36.37,36.62,36.00,36.41,1615500,36.41
2007-09-19,36.00,36.77,35.70,36.52,3176000,36.52
2007-09-18,32.51,35.00,32.51,34.81,3045600,34.81
2007-09-17,34.11,34.11,32.10,32.92,2679800,32.92
2007-09-14,35.71,35.71,33.33,34.06,2461800,34.06
2007-09-13,35.64,35.86,35.03,35.81,1227400,35.81
2007-09-12,35.89,36.10,35.14,35.81,1391400,35.81
2007-09-11,35.10,36.00,34.92,35.83,1750900,35.83
2007-09-10,36.23,36.54,34.50,34.85,2409800,34.85
2007-09-07,38.05,38.05,36.05,36.23,2331300,36.23
2007-09-06,39.27,39.45,37.76,38.10,2607200,38.10
2007-09-05,40.84,40.90,39.10,39.26,2070400,39.26
2007-09-04,40.80,41.15,40.62,40.86,649700,40.86
2007-09-03,40.60,41.17,40.60,40.94,933100,40.94
2007-08-31,39.71,40.75,39.65,40.33,1529900,40.33
2007-08-30,40.32,40.40,39.20,40.03,1182200,40.03
2007-08-29,39.58,40.08,39.20,40.00,1386900,40.00
