Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,24.01,24.79,24.01,24.69,668400,24.69
2007-11-21,24.00,24.30,23.37,24.30,151200,24.30
2007-11-20,23.40,23.90,22.93,23.89,357100,23.89
2007-11-19,22.38,23.63,22.38,23.63,702700,23.63
2007-11-16,21.20,22.89,21.20,22.57,661600,22.57
2007-11-15,21.40,21.89,19.35,21.45,725300,21.45
2007-11-14,21.90,22.00,20.99,21.30,133200,21.30
2007-11-13,21.90,22.29,21.26,21.35,129200,21.35
2007-11-12,21.84,22.30,21.65,21.85,86400,21.85
2007-11-09,22.11,22.88,21.51,21.84,113400,21.84
2007-11-08,22.90,23.44,22.10,22.15,306800,22.15
2007-11-07,23.69,23.98,22.96,22.96,376600,22.96
2007-11-06,25.00,25.00,23.64,23.65,292200,23.65
2007-11-05,25.75,25.75,24.67,24.90,378300,24.90
2007-11-02,25.90,26.70,25.58,25.74,40800,25.74
2007-11-01,26.25,26.25,26.11,26.22,31900,26.22
2007-10-31,26.50,26.79,26.11,26.25,102700,26.25
2007-10-30,26.68,26.75,26.48,26.48,25900,26.48
2007-10-29,27.55,27.58,26.20,26.86,116800,26.86
2007-10-26,27.70,27.70,27.39,27.57,48700,27.57
2007-10-25,27.90,28.10,27.56,27.70,534700,27.70
2007-10-24,28.10,28.10,27.55,27.95,78200,27.95
2007-10-23,28.20,28.21,28.10,28.10,40300,28.10
2007-10-22,28.25,28.25,27.63,28.08,308800,28.08
2007-10-19,28.50,28.60,28.45,28.50,78200,28.50
2007-10-18,28.80,28.99,28.46,28.50,138700,28.50
2007-10-17,28.70,28.98,28.66,28.79,65200,28.79
2007-10-16,28.83,28.99,28.45,28.70,78700,28.70
2007-10-15,27.50,28.98,27.50,28.80,61400,28.80
2007-10-12,28.90,28.99,28.83,28.90,26100,28.90
2007-10-11,28.96,29.00,28.91,28.99,195100,28.99
2007-10-10,28.35,28.95,28.33,28.83,311800,28.83
2007-10-09,28.20,28.40,27.93,28.39,40300,28.39
2007-10-08,27.95,28.17,27.90,28.17,109900,28.17
2007-10-05,28.00,28.79,27.61,27.85,143900,27.85
2007-10-04,28.72,28.72,28.07,28.10,114400,28.10
2007-10-03,28.60,28.60,28.53,28.55,92000,28.55
2007-10-02,28.80,28.95,28.46,28.50,171100,28.50
2007-10-01,28.88,28.88,28.67,28.80,72000,28.80
2007-09-28,28.80,28.94,28.50,28.88,288300,28.88
2007-09-27,28.90,28.99,28.70,28.80,52500,28.80
2007-09-26,28.65,29.00,28.65,28.82,125700,28.82
2007-09-25,28.40,28.80,28.36,28.57,69800,28.57
2007-09-24,28.05,28.50,28.05,28.50,99600,28.50
2007-09-21,28.20,28.28,28.05,28.05,242600,28.05
2007-09-20,28.25,28.29,28.13,28.26,114700,28.26
2007-09-19,28.00,28.37,27.88,28.25,266700,28.25
2007-09-18,27.65,27.70,27.60,27.70,105800,27.70
2007-09-17,27.77,27.80,27.55,27.63,67000,27.63
2007-09-14,27.90,27.90,27.52,27.77,27400,27.77
2007-09-13,27.95,27.98,27.60,27.95,408400,27.95
2007-09-12,28.00,28.00,27.80,27.95,61200,27.95
2007-09-11,27.62,27.99,27.62,27.99,148000,27.99
2007-09-10,27.80,28.00,27.50,27.62,108100,27.62
2007-09-07,27.75,28.25,27.75,27.80,88100,27.80
2007-09-06,28.20,28.20,27.75,28.00,116100,28.00
2007-09-05,27.65,28.24,27.65,28.18,113400,28.18
2007-09-04,26.95,27.78,26.95,27.70,59300,27.70
2007-09-03,27.00,27.00,26.70,26.99,34000,26.99
2007-08-31,26.50,26.70,26.40,26.70,21100,26.70
2007-08-30,26.40,26.40,26.16,26.40,19000,26.40
2007-08-29,26.12,26.39,26.00,26.34,63200,26.34
2007-08-28,26.26,26.50,26.15,26.21,103400,26.21
2007-08-27,26.51,26.82,26.51,26.70,11300,26.70
2007-08-24,26.68,26.95,26.45,26.70,61000,26.70
2007-08-23,27.85,27.85,26.80,26.95,35700,26.95
2007-08-22,26.25,27.50,26.19,27.50,103700,27.50
2007-08-21,26.05,26.45,26.01,26.30,54100,26.30
2007-08-20,26.40,26.88,26.15,26.40,25400,26.40
2007-08-17,26.20,26.50,26.00,26.35,158100,26.35
2007-08-16,26.40,26.40,26.13,26.32,243500,26.32
2007-08-15,26.40,26.71,26.27,26.71,71600,26.71
2007-08-13,25.95,26.70,25.95,26.58,39300,26.58
2007-08-10,26.20,26.88,25.70,26.64,387800,26.64
2007-08-09,27.00,27.83,26.40,26.49,180600,26.49
2007-08-08,25.76,27.53,25.76,27.53,236200,27.53
2007-08-07,26.49,26.50,25.40,26.08,59900,26.08
2007-08-06,25.51,26.10,25.25,26.10,76500,26.10
2007-08-03,26.25,26.49,25.39,25.90,184900,25.90
2007-08-02,26.34,26.34,25.50,26.15,126100,26.15
2007-08-01,26.38,26.38,25.50,25.70,107100,25.70
2007-07-31,26.10,26.60,26.10,26.43,36600,26.43
2007-07-30,26.00,26.50,25.75,26.04,542100,26.04
