Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,55.40,56.10,54.25,55.60,525100,55.60
2007-11-21,56.50,56.75,54.70,55.10,774900,55.10
2007-11-20,57.10,58.05,55.55,57.05,858300,57.05
2007-11-19,59.80,60.70,56.70,57.00,761200,57.00
2007-11-16,59.65,59.80,58.45,59.65,658600,59.65
2007-11-15,60.80,60.95,59.25,59.70,552700,59.70
2007-11-14,59.65,60.75,59.20,60.50,747700,60.50
2007-11-13,58.10,59.00,57.40,58.75,526600,58.75
2007-11-12,57.60,59.15,57.55,58.15,385500,58.15
2007-11-09,59.00,59.45,57.65,58.15,479500,58.15
2007-11-08,57.75,58.80,57.30,58.75,477000,58.75
2007-11-07,59.40,59.80,58.05,58.45,420300,58.45
2007-11-06,59.30,59.70,58.70,59.05,287300,59.05
2007-11-05,59.40,59.85,58.70,58.95,278500,58.95
2007-11-02,58.95,60.20,58.70,59.70,368400,59.70
2007-11-01,60.10,61.15,58.70,59.70,496200,59.70
2007-10-31,59.75,60.35,59.30,60.10,534700,60.10
2007-10-30,59.50,60.00,59.00,59.90,477300,59.90
2007-10-29,58.90,59.95,58.70,59.55,491900,59.55
2007-10-26,57.60,58.65,56.95,58.45,496800,58.45
2007-10-25,57.60,57.70,56.70,57.40,285600,57.40
2007-10-24,57.45,57.80,56.50,57.00,551100,57.00
2007-10-23,56.45,57.75,56.45,57.50,708400,57.50
2007-10-22,56.30,56.90,55.45,56.15,492000,56.15
2007-10-19,57.50,57.90,57.15,57.45,449400,57.45
2007-10-18,58.75,59.00,57.15,57.55,584800,57.55
2007-10-17,57.85,59.45,57.55,58.50,416800,58.50
2007-10-16,58.45,58.50,57.25,57.95,570400,57.95
2007-10-15,59.75,60.00,58.50,58.60,622300,58.60
2007-10-12,60.75,60.75,59.25,59.80,426700,59.80
2007-10-11,60.55,61.35,60.20,61.20,383200,61.20
2007-10-10,60.00,60.90,59.75,60.45,366000,60.45
2007-10-09,59.85,60.10,59.35,59.75,385600,59.75
2007-10-08,60.90,61.25,59.20,59.75,487800,59.75
2007-10-05,60.75,61.00,59.90,60.75,545900,60.75
2007-10-04,61.20,61.55,60.20,60.75,526800,60.75
2007-10-03,59.85,61.60,59.25,61.45,928800,61.45
2007-10-02,57.90,60.30,57.90,59.75,1165900,59.75
2007-10-01,56.90,57.55,56.25,57.40,502600,57.40
2007-09-28,56.70,57.15,55.95,56.75,725300,56.75
2007-09-27,56.85,57.35,56.30,56.80,575900,56.80
2007-09-26,55.95,56.85,55.65,56.20,1340300,56.20
2007-09-25,57.25,57.50,55.10,55.60,897200,55.60
2007-09-24,57.95,58.15,57.10,57.60,824200,57.60
2007-09-21,57.55,58.50,57.55,57.85,756000,57.85
2007-09-20,57.45,58.70,57.00,57.75,696800,57.75
2007-09-19,57.00,59.05,56.95,57.95,1028200,57.95
2007-09-18,54.30,56.10,53.60,55.50,1205000,55.50
2007-09-17,55.10,55.45,51.80,53.85,1103900,53.85
2007-09-14,57.15,57.50,54.30,55.10,909600,55.10
2007-09-13,57.95,58.50,56.55,57.90,546300,57.90
2007-09-12,58.60,59.40,57.70,58.10,536600,58.10
2007-09-11,57.95,59.20,57.65,58.85,460100,58.85
2007-09-10,58.85,59.65,57.50,57.70,927300,57.70
2007-09-07,61.25,61.50,58.90,59.20,554000,59.20
2007-09-06,62.50,63.45,60.45,61.30,734200,61.30
2007-09-05,64.55,64.60,62.25,62.50,324000,62.50
2007-09-04,64.70,64.75,63.70,64.60,255100,64.60
2007-09-03,64.05,64.75,64.00,64.50,175800,64.50
2007-08-31,63.25,64.00,63.05,63.95,536200,63.95
2007-08-30,62.95,63.45,61.80,62.75,274800,62.75
2007-08-29,61.00,62.85,60.80,62.45,467400,62.45
2007-08-28,63.35,63.55,61.35,61.85,626200,61.85
2007-08-27,63.95,64.25,63.10,63.65,224600,63.65
2007-08-24,62.80,63.95,62.20,63.75,310800,63.75
2007-08-23,62.75,63.90,62.30,63.05,562800,63.05
2007-08-22,60.95,62.75,60.45,62.60,880300,62.60
2007-08-21,60.00,61.45,58.25,60.85,645600,60.85
2007-08-20,58.85,59.95,58.80,59.65,357500,59.65
2007-08-17,58.70,60.25,57.45,58.70,736500,58.70
2007-08-16,60.60,60.90,58.80,58.95,674300,58.95
2007-08-15,61.30,62.20,60.80,61.75,294000,61.75
2007-08-13,61.45,62.10,60.75,61.55,708100,61.55
2007-08-10,61.90,61.90,60.50,61.20,823800,61.20
2007-08-09,64.35,64.35,62.25,62.85,978600,62.85
2007-08-08,65.00,65.00,63.70,64.25,854100,64.25
2007-08-07,65.00,65.45,64.20,64.60,477900,64.60
2007-08-06,64.05,65.20,63.60,64.55,475400,64.55
2007-08-03,66.40,66.85,64.25,64.40,649800,64.40
2007-08-02,66.00,66.85,65.80,66.25,340300,66.25
2007-08-01,66.00,66.90,65.15,65.50,731100,65.50
2007-07-31,66.35,66.90,65.95,66.85,626500,66.85
2007-07-30,65.50,66.85,65.30,65.65,401900,65.65
2007-07-27,65.10,66.95,65.00,65.45,700200,65.45
2007-07-26,67.85,68.05,65.70,65.70,594800,65.70
2007-07-25,67.60,68.70,66.85,67.85,534200,67.85
2007-07-24,69.35,69.65,67.90,68.05,902700,68.05
2007-07-23,68.30,69.30,67.85,69.20,705600,69.20
2007-07-20,70.00,70.40,67.75,68.15,823800,68.15
2007-07-19,70.00,70.70,69.20,69.95,1046700,69.95
2007-07-18,69.50,70.00,68.65,69.65,327200,69.65
2007-07-17,69.85,70.50,69.15,69.95,333400,69.95
2007-07-16,70.25,70.70,69.50,70.20,555600,70.20
2007-07-13,70.50,71.45,68.40,70.20,1160300,70.20
2007-07-12,69.00,69.30,66.90,68.40,667700,68.40
2007-07-11,67.25,69.05,66.75,68.90,1499200,68.90
2007-07-10,69.65,70.00,67.40,67.60,4583100,67.60
2007-07-09,70.25,70.90,69.50,69.55,423600,69.55
2007-07-06,70.55,70.85,70.20,70.70,3580400,70.70
2007-07-05,70.50,71.55,69.70,70.50,1355400,70.50
2007-07-04,67.85,70.90,67.70,70.30,1249400,70.30
2007-07-03,67.00,68.15,67.00,67.85,572000,67.85
2007-07-02,67.00,67.60,66.55,66.80,1200000,66.80
2007-06-29,68.50,68.50,66.30,66.95,934200,66.95
2007-06-28,67.50,68.30,67.10,67.70,1618000,67.70
2007-06-27,66.90,67.40,65.75,67.05,1735300,67.05
2007-06-26,67.90,68.60,67.10,67.45,999900,67.45
2007-06-25,66.55,68.65,66.45,68.60,675100,68.60
2007-06-22,67.80,67.80,66.50,67.40,679300,67.40
2007-06-21,67.20,67.80,66.05,67.45,1418300,67.45
2007-06-20,69.60,69.60,67.85,67.90,771300,67.90
2007-06-19,70.10,70.80,68.75,69.15,926600,69.15
2007-06-18,70.90,71.00,69.70,70.00,475300,70.00
2007-06-15,70.15,70.90,69.25,70.60,980200,70.60
2007-06-14,70.10,70.60,69.25,70.05,511100,70.05
2007-06-13,69.10,69.45,68.25,69.45,564000,69.45
2007-06-12,71.10,71.20,68.95,69.20,518100,69.20
2007-06-11,70.40,71.05,69.70,71.05,790900,71.05
2007-06-08,68.60,69.45,67.70,69.05,717200,69.05
2007-06-07,70.25,71.00,68.30,68.90,738100,68.90
2007-06-06,72.60,72.65,69.70,69.70,814500,69.70
2007-06-05,71.00,73.65,70.30,72.65,1100400,72.65
2007-06-04,73.00,73.25,70.75,71.10,1517300,71.10
2007-05-31,73.90,73.90,73.15,73.50,763400,73.50
2007-05-30,74.10,74.25,72.40,73.00,1077800,73.00
2007-05-29,75.05,75.70,74.70,75.00,400300,75.00
2007-05-28,74.40,74.70,74.20,74.65,154000,74.65
2007-05-25,74.55,75.00,73.60,74.05,932100,74.05
2007-05-24,75.00,75.90,74.75,75.30,784800,75.30
2007-05-23,74.20,76.10,74.20,76.00,885600,76.00
2007-05-22,73.90,74.70,72.45,74.50,585200,74.50
2007-05-21,73.95,74.85,73.60,73.80,761300,73.80
2007-05-18,71.95,73.85,71.90,73.85,1107100,73.85
2007-05-17,70.50,72.45,70.05,72.25,1031400,72.25
2007-05-16,69.25,70.00,68.75,69.85,745400,69.85
2007-05-15,69.35,69.50,68.75,69.20,811600,69.20
2007-05-14,70.40,70.75,69.05,69.35,598200,69.35
2007-05-11,67.80,70.15,67.35,70.05,897600,70.05
2007-05-10,70.00,70.15,68.15,68.15,917400,68.15
2007-05-09,70.65,71.30,68.10,70.00,2412600,70.00
2007-05-08,71.50,71.60,69.95,70.20,926000,70.20
2007-05-07,70.30,71.80,70.00,71.45,895700,71.45
2007-05-04,67.75,70.05,67.65,70.00,871600,70.00
2007-05-03,68.30,68.30,65.70,68.00,860900,68.00
2007-05-02,68.50,69.40,67.65,67.90,812000,67.90
2007-04-30,69.00,70.00,68.50,68.60,435900,68.60
2007-04-27,69.55,69.75,68.30,68.95,618900,68.95
2007-04-26,70.00,70.70,68.20,69.50,1209000,69.50
2007-04-25,70.35,71.30,68.05,68.60,1636000,68.60
2007-04-24,75.15,75.85,69.25,70.35,2316100,70.35
2007-04-23,76.95,76.95,75.35,75.40,440400,75.40
2007-04-20,75.50,77.00,75.40,76.75,714800,76.75
2007-04-19,75.05,75.65,73.10,75.25,754800,75.25
2007-04-18,76.35,76.50,75.15,75.65,302700,75.65
2007-04-17,76.60,77.45,76.00,76.40,563400,76.40
