Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,61.00,61.55,59.40,60.25,1085800,60.25
2007-11-21,63.20,63.20,60.55,61.00,1397900,61.00
2007-11-20,60.00,63.85,59.55,63.45,2444500,63.45
2007-11-19,61.45,62.70,59.00,59.45,1584300,59.45
2007-11-16,60.30,62.00,60.15,61.55,1078900,61.55
2007-11-15,62.00,62.25,60.00,60.75,1908000,60.75
2007-11-14,62.65,63.90,61.20,62.00,1297600,62.00
2007-11-13,58.40,62.95,57.80,62.25,2579100,62.25
2007-11-12,57.45,58.80,57.35,58.50,1069100,58.50
2007-11-09,60.40,60.50,56.75,57.30,1427900,57.30
2007-11-08,59.00,60.10,58.75,59.95,1166000,59.95
2007-11-07,59.85,60.00,58.30,59.70,1151900,59.70
2007-11-06,59.30,59.80,58.90,59.45,806000,59.45
2007-11-05,59.50,60.10,58.60,58.80,1236300,58.80
2007-11-02,59.60,60.35,59.30,59.75,562400,59.75
2007-11-01,59.65,60.45,59.20,60.35,1004700,60.35
2007-10-31,57.95,60.05,57.65,60.05,970200,60.05
2007-10-30,59.55,59.60,57.65,57.90,1453700,57.90
2007-10-29,60.45,62.00,59.00,59.55,1067900,59.55
2007-10-26,57.70,59.70,57.05,59.70,1113000,59.70
2007-10-25,57.25,57.35,56.75,57.20,951300,57.20
2007-10-24,57.10,57.35,56.25,56.50,421900,56.50
2007-10-23,56.65,57.40,56.55,57.20,708600,57.20
2007-10-22,56.30,57.45,55.90,56.35,1280500,56.35
2007-10-19,59.40,59.75,57.65,58.00,842700,58.00
2007-10-18,60.15,60.75,58.65,59.10,734100,59.10
2007-10-17,59.55,60.70,59.25,60.15,1129500,60.15
2007-10-16,60.80,61.30,59.05,59.70,1044400,59.70
2007-10-15,61.75,61.75,60.70,60.95,682500,60.95
2007-10-12,62.15,62.50,60.80,61.35,573100,61.35
2007-10-11,61.95,62.90,61.70,62.60,827400,62.60
2007-10-10,61.10,62.30,60.70,61.95,738300,61.95
2007-10-09,60.55,60.75,59.45,60.50,986200,60.50
2007-10-08,61.95,62.60,60.10,60.30,1188100,60.30
2007-10-05,61.85,62.90,60.75,61.70,807100,61.70
2007-10-04,63.35,64.05,61.15,61.50,1088200,61.50
2007-10-03,62.00,65.50,60.60,64.25,2160000,64.25
2007-10-02,60.45,63.25,60.05,62.25,1621000,62.25
2007-10-01,59.45,59.95,58.25,59.30,1406000,59.30
2007-09-28,59.50,59.55,58.50,59.35,782800,59.35
2007-09-27,59.50,60.30,59.45,59.50,931300,59.50
2007-09-26,57.50,58.90,57.50,58.75,1501500,58.75
2007-09-25,58.00,58.30,55.75,57.45,1533800,57.45
2007-09-24,59.60,59.70,58.25,58.40,1004900,58.40
2007-09-21,58.20,60.45,58.10,59.75,1340500,59.75
2007-09-20,59.00,59.10,57.75,58.50,1530500,58.50
2007-09-19,58.50,61.30,58.50,59.75,2079500,59.75
2007-09-18,52.90,56.75,52.90,56.00,1033300,56.00
2007-09-17,55.50,55.55,52.20,54.00,1643600,54.00
2007-09-14,57.55,57.70,53.40,55.75,1733400,55.75
2007-09-13,58.30,58.55,57.00,57.65,1002200,57.65
2007-09-12,58.90,59.05,58.00,58.30,817000,58.30
2007-09-11,57.85,58.60,57.60,58.55,908600,58.55
2007-09-10,58.85,59.75,56.70,57.00,1402700,57.00
2007-09-07,61.30,61.55,58.85,59.10,1412400,59.10
2007-09-06,62.85,63.50,60.25,61.45,930600,61.45
2007-09-05,65.40,65.50,62.70,62.70,706400,62.70
2007-09-04,65.10,65.50,64.65,65.30,626200,65.30
2007-09-03,64.75,65.30,64.35,65.10,537100,65.10
2007-08-31,64.15,64.75,63.60,64.40,1534900,64.40
2007-08-30,63.90,64.60,63.00,63.65,719900,63.65
2007-08-29,62.30,63.95,62.15,63.60,643300,63.60
2007-08-28,63.10,63.95,62.25,62.75,679000,62.75
2007-08-27,63.45,64.10,62.75,63.00,489700,63.00
2007-08-24,62.95,64.00,62.70,63.05,1653000,63.05
2007-08-23,65.50,65.90,62.80,62.90,1241400,62.90
2007-08-22,63.75,66.10,63.75,64.90,1095300,64.90
2007-08-21,61.30,63.75,60.60,63.70,1590300,63.70
2007-08-20,58.95,62.45,58.75,61.00,1668900,61.00
2007-08-17,57.30,59.30,56.15,58.60,1339900,58.60
2007-08-16,60.00,60.35,57.05,57.20,1889600,57.20
2007-08-15,61.60,61.90,60.70,61.45,603500,61.45
2007-08-13,61.20,63.30,61.20,63.05,776500,63.05
2007-08-10,61.10,63.85,60.60,61.05,1640200,61.05
2007-08-09,62.10,64.50,62.00,62.30,1839900,62.30
2007-08-08,62.30,62.55,60.70,61.80,1753500,61.80
2007-08-07,61.45,62.30,61.10,61.50,982400,61.50
2007-08-06,61.50,62.30,60.50,61.05,1574700,61.05
2007-08-03,63.95,64.10,62.50,62.65,1007800,62.65
2007-08-02,64.50,64.95,63.35,63.70,767800,63.70
2007-08-01,63.90,64.95,63.10,63.95,1661900,63.95
2007-07-31,65.15,66.60,64.95,66.05,1397200,66.05
2007-07-30,65.20,66.65,64.00,64.30,699000,64.30
2007-07-27,63.30,67.20,63.05,65.00,1313000,65.00
2007-07-26,67.00,67.00,64.45,64.45,1191800,64.45
2007-07-25,66.50,67.15,65.30,66.85,723500,66.85
2007-07-24,67.75,68.35,66.60,66.85,1040500,66.85
2007-07-23,68.00,68.10,67.25,67.65,801800,67.65
2007-07-20,69.25,69.45,67.25,68.35,1194800,68.35
2007-07-19,69.10,69.40,68.55,69.20,967300,69.20
2007-07-18,68.75,69.30,68.50,68.95,513200,68.95
2007-07-17,69.05,69.30,68.45,69.05,874900,69.05
2007-07-16,69.50,69.50,68.15,69.10,1065500,69.10
2007-07-13,69.45,69.50,68.55,68.90,959000,68.90
2007-07-12,70.20,70.20,67.85,68.80,1897300,68.80
2007-07-11,70.05,70.70,67.95,69.90,2046900,69.90
2007-07-10,71.95,72.45,69.85,70.35,831700,70.35
2007-07-09,73.00,73.45,71.50,71.95,761600,71.95
2007-07-06,71.80,72.70,71.75,72.70,553100,72.70
2007-07-05,73.25,73.30,71.85,71.85,733000,71.85
2007-07-04,71.95,73.00,71.80,73.00,755600,73.00
2007-07-03,72.00,72.55,71.80,71.95,449300,71.95
2007-07-02,72.75,73.00,71.40,71.80,1333000,71.80
2007-06-29,72.55,73.30,71.50,73.05,1250800,73.05
2007-06-28,71.85,72.35,71.60,72.20,1095900,72.20
2007-06-27,71.35,72.00,70.35,71.45,1093400,71.45
2007-06-26,70.20,72.30,70.20,71.80,1060500,71.80
2007-06-25,70.80,71.20,70.05,70.50,1398900,70.50
2007-06-22,73.05,73.15,71.10,71.70,922200,71.70
2007-06-21,71.00,72.95,70.05,72.95,1986200,72.95
2007-06-20,74.00,74.00,71.70,71.80,1091100,71.80
2007-06-19,73.95,74.50,73.00,73.45,906900,73.45
2007-06-18,75.40,75.40,73.40,73.95,1123800,73.95
2007-06-15,74.15,75.05,72.75,74.90,1236000,74.90
2007-06-14,74.50,74.85,73.40,74.15,850800,74.15
2007-06-13,73.05,74.30,72.25,73.90,1494800,73.90
2007-06-12,75.50,75.50,73.50,73.65,652000,73.65
2007-06-11,74.70,75.90,74.30,75.45,697900,75.45
2007-06-08,73.70,74.80,72.25,74.00,1403400,74.00
2007-06-07,76.65,77.00,73.70,74.00,1233200,74.00
2007-06-06,79.70,79.70,76.00,76.15,1495400,76.15
2007-06-05,79.10,79.80,78.55,79.20,867500,79.20
2007-06-04,78.50,78.95,77.65,78.50,730800,78.50
2007-05-31,78.60,79.50,78.25,78.95,780900,78.95
2007-05-30,78.75,78.80,75.85,78.35,1125100,78.35
2007-05-29,79.95,80.25,78.55,78.95,503600,78.95
2007-05-28,79.10,80.00,78.50,80.00,410300,80.00
2007-05-25,79.00,79.10,77.95,78.50,564500,78.50
2007-05-24,80.00,80.55,79.00,79.00,1037300,79.00
2007-05-23,79.95,80.90,79.45,80.70,877400,80.70
2007-05-22,78.50,78.90,77.80,78.20,326700,78.20
2007-05-21,78.70,79.40,78.45,78.50,803800,78.50
2007-05-18,77.85,79.75,77.55,78.50,924900,78.50
2007-05-17,77.65,78.70,77.50,77.55,751500,77.55
2007-05-16,75.80,77.75,75.40,77.50,1098400,77.50
2007-05-15,76.50,76.65,75.85,76.05,889700,75.39
2007-05-14,76.70,76.75,75.75,76.70,650200,76.03
2007-05-11,75.70,76.40,75.00,76.15,960100,75.49
2007-05-10,77.10,77.55,75.55,76.15,1548500,75.49
2007-05-09,78.10,78.80,77.15,77.45,823300,76.78
2007-05-08,78.15,78.60,77.05,77.60,889100,76.93
2007-05-07,78.25,78.80,77.65,78.25,760600,77.57
2007-05-04,77.95,78.90,77.60,78.35,1064400,77.67
2007-05-03,79.40,79.85,77.05,77.95,897000,77.27
2007-05-02,80.10,80.70,78.70,79.35,719900,78.66
2007-04-30,78.30,80.90,78.30,80.10,888100,79.40
2007-04-27,78.60,79.90,78.25,78.50,1080400,77.82
2007-04-26,80.95,81.00,78.30,78.30,1129200,77.62
2007-04-25,78.00,80.50,77.55,80.00,785400,79.31
2007-04-24,81.40,81.55,76.00,78.65,2118400,77.97
2007-04-23,82.35,82.50,81.25,81.60,691700,80.89
2007-04-20,79.00,82.95,78.90,82.75,1835700,82.03
2007-04-19,77.60,79.30,76.70,79.20,860200,78.51
2007-04-18,76.95,78.55,76.90,78.00,1544100,77.32
2007-04-17,77.30,77.30,76.10,76.50,637900,75.84
2007-04-16,77.40,77.55,76.75,77.05,805400,76.38
2007-04-13,76.65,77.45,76.60,77.00,339000,76.33
2007-04-12,78.00,78.00,76.05,76.40,814600,75.74
2007-04-11,77.65,78.10,76.60,78.00,642200,77.32
2007-04-10,78.05,78.10,77.00,77.85,576400,77.17
2007-04-05,78.30,78.30,77.55,77.90,302700,77.22
2007-04-04,78.00,78.75,77.85,77.85,891300,77.17
2007-04-03,76.50,77.50,76.10,77.50,852600,76.83
2007-04-02,75.05,76.70,74.95,76.30,472800,75.64
2007-03-30,75.25,76.80,74.80,75.75,888200,75.09
2007-03-29,73.85,75.20,73.80,75.10,604600,74.45
2007-03-28,73.95,74.30,73.50,73.80,485400,73.16
2007-03-27,74.40,74.50,73.60,74.10,481000,73.46
2007-03-26,75.70,75.70,73.10,73.55,913000,72.91
2007-03-23,75.55,75.70,74.70,75.25,400100,74.60
2007-03-22,75.50,75.75,74.90,75.50,610300,74.84
2007-03-21,74.50,74.85,73.50,74.35,1097200,73.70
2007-03-20,74.50,74.50,73.10,74.35,951400,73.70
2007-03-19,73.50,74.20,72.85,73.95,664100,73.31
2007-03-16,72.05,72.75,71.35,72.65,544000,72.02
2007-03-15,71.20,72.30,70.75,72.20,914100,71.57
2007-03-14,70.45,71.10,69.55,70.00,1387300,69.39
2007-03-13,73.95,74.30,71.95,71.95,727800,71.33
2007-03-12,74.75,75.25,73.65,73.70,519800,73.06
2007-03-09,75.50,75.65,73.85,74.60,596300,73.95
2007-03-08,74.20,75.55,73.80,75.15,769800,74.50
2007-03-07,73.75,73.95,72.50,73.25,629200,72.61
2007-03-06,73.25,73.25,71.50,73.00,876100,72.37
2007-03-05,72.00,72.50,70.95,72.00,890400,71.38
2007-03-02,74.10,75.35,72.50,73.15,889500,72.52
2007-03-01,75.00,76.30,71.55,74.00,1440200,73.36
2007-02-28,73.30,76.45,72.10,74.90,1536800,74.25
2007-02-27,79.35,79.40,74.60,74.60,1749000,73.95
2007-02-26,79.00,80.95,79.00,79.45,887200,78.76
2007-02-23,78.20,79.25,77.65,79.25,623100,78.56
2007-02-22,78.10,78.70,77.50,78.05,578300,77.37
2007-02-21,78.30,79.25,77.65,77.90,658700,77.22
2007-02-20,79.20,79.30,77.85,78.10,805600,77.42
2007-02-19,77.95,79.45,77.75,79.40,1093200,78.71
2007-02-16,76.40,77.85,76.25,77.75,1127900,77.08
2007-02-15,75.55,76.20,74.95,76.05,573900,75.39
2007-02-14,75.65,75.95,74.65,75.45,666100,74.80
2007-02-13,76.00,76.30,75.25,75.60,725900,74.94
2007-02-12,76.90,77.00,75.35,76.00,633000,75.34
2007-02-09,77.20,78.10,77.20,77.40,512400,76.73
2007-02-08,78.10,78.25,76.55,76.95,548800,76.28
2007-02-07,76.95,77.95,76.80,77.80,444800,77.12
2007-02-06,77.50,77.50,76.50,76.75,416900,76.08
2007-02-05,77.60,77.60,76.40,77.15,412500,76.48
2007-02-02,77.30,77.80,76.90,77.60,476900,76.93
2007-02-01,77.50,77.85,77.05,77.05,492900,76.38
2007-01-31,77.00,77.25,76.25,76.75,1057800,76.08
2007-01-30,75.40,77.10,75.15,76.50,978100,75.84
2007-01-29,74.60,75.30,74.50,75.15,656400,74.50
2007-01-26,74.65,74.70,74.00,74.50,776200,73.85
2007-01-25,74.50,74.65,74.10,74.65,536100,74.00
2007-01-24,74.55,74.90,74.10,74.25,617400,73.61
2007-01-23,73.90,74.50,73.70,74.45,523800,73.80
2007-01-22,73.30,74.60,73.30,73.75,569300,73.11
2007-01-19,72.65,73.40,72.60,73.20,703500,72.56
2007-01-18,72.80,73.20,72.25,72.70,397800,72.07
2007-01-17,72.95,73.30,71.90,72.25,488000,71.62
2007-01-16,73.50,73.90,71.95,72.15,371600,71.52
2007-01-15,72.00,73.75,72.00,73.45,745200,72.81
2007-01-12,71.50,72.10,70.90,72.00,280100,71.38
2007-01-11,71.05,71.45,70.45,71.40,551700,70.78
2007-01-10,71.90,71.95,70.05,70.75,647900,70.14
2007-01-09,71.50,72.85,71.40,72.35,873200,71.72
2007-01-08,71.60,72.20,70.70,71.10,640800,70.48
2007-01-05,72.10,72.50,71.80,72.05,436000,71.42
2007-01-04,73.05,73.10,72.00,72.65,419700,72.02
2007-01-03,73.55,74.10,72.65,73.20,631300,72.56
2007-01-02,74.00,74.90,73.65,73.80,750500,73.16
2006-12-29,74.00,74.90,73.70,73.95,411400,73.31
2006-12-28,73.30,73.50,72.60,73.20,435300,72.56
2006-12-27,71.95,73.55,71.70,73.50,365900,72.86
2006-12-22,73.20,73.35,72.05,72.25,335100,71.62
2006-12-21,73.50,73.55,72.90,73.20,280900,72.56
2006-12-20,73.05,73.70,73.00,73.50,285300,72.86
2006-12-19,73.45,73.65,72.55,72.70,524000,72.07
2006-12-18,73.90,74.00,73.45,73.85,365200,73.21
2006-12-15,73.85,74.20,73.10,73.90,704300,73.26
2006-12-14,74.05,74.45,73.40,73.85,546200,73.21
2006-12-13,73.65,74.45,73.05,74.00,657000,73.36
2006-12-12,74.70,74.90,73.65,74.00,461500,73.36
2006-12-11,74.35,75.05,74.00,75.00,476800,74.35
2006-12-08,73.60,73.95,72.90,73.95,228800,73.31
2006-12-07,73.50,74.25,73.35,73.75,311300,73.11
2006-12-06,73.00,75.00,72.80,73.30,712200,72.66
2006-12-05,72.75,73.45,71.85,72.95,908700,72.32
2006-12-04,72.40,73.15,71.30,72.60,640600,71.97
2006-12-01,73.15,74.60,71.50,72.45,536000,71.82
2006-11-30,74.95,75.50,72.85,73.00,713500,72.37
2006-11-29,71.80,74.40,71.70,74.30,771700,73.66
2006-11-28,72.50,72.65,70.80,71.00,1301100,70.38
2006-11-27,73.30,73.80,72.20,72.50,833000,71.87
2006-11-24,74.90,75.00,72.10,73.35,803300,72.71
2006-11-23,77.90,77.90,72.50,75.30,2284200,74.65
2006-11-22,76.90,77.80,76.70,77.80,395100,77.12
2006-11-21,75.75,76.95,75.60,76.65,540400,75.98
2006-11-20,77.15,77.20,75.05,75.90,819400,75.24
2006-11-17,77.65,77.90,76.45,77.15,434400,76.48
2006-11-16,77.95,78.35,76.95,77.30,510200,76.63
2006-11-15,77.30,78.20,76.70,77.95,604500,77.27
2006-11-14,76.80,77.40,75.85,76.55,593800,75.55
2006-11-13,76.40,77.75,76.00,76.85,817900,75.84
2006-11-10,76.35,76.35,75.50,75.95,556300,74.96
2006-11-09,75.50,76.50,75.50,76.50,365400,75.50
2006-11-08,75.55,75.85,74.45,75.50,370100,74.51
2006-11-07,75.95,76.10,74.35,75.45,778000,74.46
2006-11-06,74.45,76.90,74.10,75.55,842200,74.56
2006-11-03,72.60,74.40,72.15,74.05,898100,73.08
2006-11-02,71.65,73.00,71.50,71.75,636200,70.81
2006-11-01,72.50,73.20,72.00,72.55,658000,71.60
2006-10-31,68.30,73.50,68.30,72.40,1490900,71.45
2006-10-30,67.65,69.20,67.00,68.90,475900,68.00
2006-10-27,68.20,68.25,67.00,67.85,291200,66.96
2006-10-26,68.40,68.80,68.00,68.30,470700,67.41
2006-10-25,67.30,68.80,67.25,68.45,384800,67.55
2006-10-24,68.70,68.80,67.40,67.80,388900,66.91
2006-10-23,68.70,69.20,68.50,68.70,596800,67.80
2006-10-20,67.90,69.05,67.20,68.85,608100,67.95
2006-10-19,66.80,67.65,66.40,67.65,287000,66.77
2006-10-18,66.15,67.40,65.65,67.25,520000,66.37
2006-10-17,67.60,67.95,66.10,66.25,878800,65.38
2006-10-16,68.50,68.60,67.45,67.60,660500,66.72
2006-10-13,67.95,69.15,67.20,68.75,734300,67.85
2006-10-12,65.65,68.20,65.05,68.05,1074200,67.16
2006-10-11,65.65,65.95,64.80,65.80,611000,64.94
2006-10-09,64.70,65.70,64.00,64.90,779400,64.05
2006-10-06,65.35,65.35,63.70,64.75,598800,63.90
2006-10-05,65.00,66.30,64.45,65.40,1208100,64.54
2006-10-04,63.30,64.90,62.70,64.45,1376500,63.61
2006-10-03,62.30,62.50,61.40,61.85,376400,61.04
2006-10-02,63.50,63.90,62.15,62.50,772600,61.68
2006-09-29,61.70,63.75,61.50,63.40,1719800,62.57
2006-09-28,62.00,62.20,60.80,61.30,1006600,60.50
2006-09-27,58.60,61.60,58.50,61.40,1342200,60.60
2006-09-26,59.10,59.20,58.55,58.70,647200,57.93
2006-09-25,59.45,59.90,58.30,58.60,1147400,57.83
