Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,81.30,81.55,81.25,81.50,53700,81.50
2007-11-21,81.30,81.55,81.20,81.45,34300,81.45
2007-11-20,81.55,81.55,81.25,81.40,74600,81.40
2007-11-19,81.40,81.55,81.30,81.55,59100,81.55
2007-11-16,81.45,81.50,81.30,81.30,40200,81.30
2007-11-15,81.50,81.70,81.45,81.45,80200,81.45
2007-11-14,81.50,81.65,81.45,81.55,56900,81.55
2007-11-13,81.60,81.60,81.35,81.50,25700,81.50
2007-11-12,81.25,81.55,81.10,81.50,61700,81.50
2007-11-09,81.40,81.60,81.05,81.35,88800,81.35
2007-11-08,81.35,81.70,81.30,81.45,169400,81.45
2007-11-07,81.45,82.00,81.25,81.65,68200,81.65
2007-11-06,81.70,81.70,81.30,81.45,12100,81.45
2007-11-05,81.20,81.70,81.20,81.30,22100,81.30
2007-11-02,81.00,81.75,81.00,81.60,24600,81.60
2007-11-01,81.00,81.75,81.00,81.05,92300,81.05
2007-10-31,81.30,81.35,81.00,81.00,106500,81.00
2007-10-30,81.35,81.45,81.00,81.35,132100,81.35
2007-10-29,81.25,81.30,80.90,81.20,362600,81.20
2007-10-26,80.55,81.30,80.45,81.25,284800,81.25
2007-10-25,80.25,80.90,80.20,80.80,63600,80.80
2007-10-24,79.90,80.50,79.80,79.90,43700,79.90
2007-10-23,80.30,80.40,79.80,80.00,1473700,80.00
2007-10-22,80.20,80.60,80.05,80.15,1850100,80.15
2007-10-19,80.30,80.50,80.20,80.35,464500,80.35
2007-10-18,80.45,80.60,80.25,80.30,798600,80.30
2007-10-17,80.55,81.00,80.40,80.55,251200,80.55
2007-10-16,80.25,80.70,80.25,80.50,32700,80.50
2007-10-15,80.70,81.00,80.40,80.45,35300,80.45
2007-10-12,80.60,81.10,80.60,81.10,456800,81.10
2007-10-11,80.75,81.25,80.55,80.70,374900,80.70
2007-10-10,80.85,80.95,80.50,80.70,269200,80.70
2007-10-09,80.40,80.85,80.35,80.70,436700,80.70
2007-10-08,80.50,80.70,80.25,80.60,216700,80.60
2007-10-05,80.05,80.85,80.00,80.50,238300,80.50
2007-10-04,80.20,80.40,79.80,80.05,549700,80.05
2007-10-03,80.15,80.90,79.90,80.40,43800,80.40
2007-10-02,80.80,80.80,80.10,80.35,38400,80.35
2007-10-01,79.80,80.70,79.80,80.70,38800,80.70
2007-09-28,79.95,79.95,79.50,79.75,35200,79.75
2007-09-27,80.00,80.00,79.45,79.70,22200,79.70
2007-09-26,80.00,80.00,79.40,79.55,16300,79.55
2007-09-25,79.75,80.10,79.05,79.40,148600,79.40
2007-09-24,79.85,80.30,79.70,79.75,60300,79.75
2007-09-21,79.60,80.05,79.60,79.85,75600,79.85
2007-09-20,80.00,80.00,79.25,79.50,100200,79.50
2007-09-19,80.20,80.25,79.25,79.85,57800,79.85
2007-09-18,78.45,80.05,78.45,79.65,45300,79.65
2007-09-17,78.90,79.00,78.45,78.60,50600,78.60
2007-09-14,79.70,79.70,78.45,78.85,67300,78.85
2007-09-13,79.15,79.60,78.45,78.90,73700,78.90
2007-09-12,79.90,79.90,79.15,79.20,67400,79.20
2007-09-11,79.75,79.75,78.90,79.30,11300,79.30
2007-09-10,79.10,81.00,78.50,78.75,26100,78.75
2007-09-07,79.05,79.60,78.70,78.70,85000,78.70
2007-09-06,79.90,79.90,79.05,79.30,34700,79.30
2007-09-05,78.90,79.85,78.55,79.30,61500,79.30
2007-09-04,78.05,78.95,78.05,78.90,59500,78.90
2007-09-03,78.00,78.50,77.70,78.15,14100,78.15
2007-08-31,78.65,78.65,77.85,78.20,2282500,78.20
2007-08-30,78.20,78.20,77.40,77.95,54700,77.95
2007-08-29,77.70,78.60,77.45,77.95,54900,77.95
2007-08-28,77.90,78.00,77.70,77.95,18600,77.95
2007-08-27,78.15,78.70,77.95,78.10,1510000,78.10
2007-08-24,77.85,78.80,77.85,78.45,46700,78.45
2007-08-23,78.55,78.80,77.85,78.00,114800,78.00
2007-08-22,78.00,78.35,77.60,78.10,43800,78.10
2007-08-21,78.50,78.50,77.35,77.80,84500,77.80
2007-08-20,77.80,78.30,77.75,77.90,11000,77.90
2007-08-17,78.00,78.90,77.10,77.65,2122200,77.65
2007-08-16,78.25,79.25,77.70,77.85,62400,77.85
2007-08-15,78.05,79.50,78.05,79.35,630800,79.35
2007-08-13,78.00,78.80,78.00,78.75,54100,78.75
2007-08-10,77.85,79.40,77.50,77.85,81500,77.85
2007-08-09,78.50,79.00,77.85,78.75,80800,78.75
2007-08-08,78.55,79.60,78.40,79.15,63700,79.15
2007-08-07,78.85,78.85,77.60,78.20,52600,78.20
2007-08-06,76.85,78.50,76.85,77.80,2150400,77.80
2007-08-03,79.85,80.20,77.05,78.00,168400,78.00
2007-08-02,79.65,80.30,79.50,79.80,79000,79.80
2007-08-01,78.70,79.80,78.40,79.15,65400,79.15
2007-07-31,79.55,79.95,78.80,79.85,409900,79.85
2007-07-30,79.30,80.10,78.65,78.95,1861700,78.95
2007-07-27,77.65,80.05,77.65,79.40,1186900,79.40
2007-07-26,79.65,80.05,77.70,78.25,1109400,78.25
2007-07-25,79.80,80.50,79.55,79.70,54100,79.70
2007-07-24,80.25,80.25,79.90,80.00,28200,80.00
2007-07-23,79.70,80.25,79.70,80.15,4859800,80.15
2007-07-20,79.85,80.25,79.65,80.00,415000,80.00
2007-07-19,79.90,80.35,79.80,80.00,153200,80.00
2007-07-18,79.95,80.45,79.95,79.95,85100,79.95
2007-07-17,80.30,80.95,79.90,80.10,163100,80.10
2007-07-16,79.80,81.00,79.80,80.80,154300,80.80
2007-07-13,80.70,80.90,79.80,79.80,55100,79.80
2007-07-12,80.15,80.70,79.70,80.20,60000,80.20
2007-07-11,80.50,81.65,80.00,80.05,74200,80.05
2007-07-10,80.75,82.35,80.55,80.75,155100,80.75
2007-07-09,82.90,82.95,80.95,80.95,116700,80.95
2007-07-06,82.45,82.75,81.20,82.50,4861400,82.50
2007-07-05,81.15,82.65,80.85,82.15,238000,82.15
2007-07-04,82.70,83.10,82.20,83.10,105600,80.60
2007-07-03,82.40,82.80,81.75,82.45,368200,79.97
2007-07-02,82.00,82.50,81.15,82.50,8944400,80.02
2007-06-29,80.00,82.00,79.70,82.00,2659300,79.53
2007-06-28,80.40,80.45,79.70,80.10,3039300,77.69
2007-06-27,79.80,80.50,79.60,80.05,3631000,77.64
2007-06-26,79.75,80.70,79.75,80.10,565700,77.69
2007-06-25,80.05,81.15,80.00,80.25,123200,77.84
2007-06-22,80.55,81.15,80.25,80.50,64000,78.08
2007-06-21,80.60,81.00,80.50,80.60,99500,78.18
2007-06-20,80.60,81.40,80.60,81.10,115000,78.66
2007-06-19,81.35,81.35,80.35,80.45,77300,78.03
2007-06-18,82.15,82.15,80.50,80.85,55400,78.42
2007-06-15,82.55,82.55,81.45,82.45,69800,79.97
2007-06-14,81.00,83.00,81.00,82.50,162200,80.02
2007-06-13,80.30,81.15,80.10,80.90,110100,78.47
2007-06-12,81.30,81.75,80.00,80.25,77800,77.84
2007-06-11,80.90,81.70,80.20,81.25,61700,78.81
2007-06-08,80.80,81.90,80.15,80.55,107900,78.13
2007-06-07,80.60,81.45,80.20,80.80,135800,78.37
2007-06-06,83.25,83.65,80.15,80.75,107200,78.32
2007-06-05,83.60,83.60,83.05,83.55,322100,81.04
2007-06-04,84.65,84.65,83.25,83.40,90700,80.89
2007-05-31,84.30,84.80,83.50,84.65,184300,82.10
2007-05-30,83.20,84.30,82.50,83.85,72300,81.33
2007-05-29,83.95,84.25,82.60,84.00,31600,81.47
2007-05-28,82.95,83.70,82.10,83.45,12700,80.94
2007-05-25,84.00,84.20,80.85,83.15,74100,80.65
2007-05-24,85.50,85.50,84.00,84.00,269900,81.47
2007-05-23,85.15,86.00,84.20,85.30,42300,82.73
2007-05-22,86.10,86.10,85.15,85.25,15900,82.69
2007-05-21,86.75,86.95,85.10,85.55,35100,82.98
2007-05-18,86.05,86.80,85.10,86.10,41600,83.51
2007-05-17,85.70,86.00,85.10,85.60,74600,83.02
2007-05-16,87.15,87.15,85.55,85.95,34600,83.36
2007-05-15,86.00,87.45,85.75,86.45,35600,83.85
2007-05-14,87.50,87.50,85.80,86.05,26800,83.46
2007-05-11,85.45,87.90,85.05,86.85,63800,84.24
2007-05-10,85.30,86.65,84.30,85.00,44600,82.44
2007-05-09,86.00,86.25,84.00,85.50,50900,82.93
2007-05-08,86.35,88.50,85.70,86.10,51200,83.51
2007-05-07,85.80,88.90,85.80,87.20,24800,84.58
2007-05-04,87.05,88.60,86.05,87.10,32000,84.48
2007-05-03,86.90,87.20,84.55,86.40,104400,83.80
2007-05-02,84.10,87.15,84.10,86.50,83300,83.90
2007-04-30,85.10,86.00,83.20,84.20,81600,81.67
2007-04-27,84.85,85.50,84.00,84.70,57600,82.15
2007-04-26,85.90,87.45,84.05,85.25,81100,82.69
2007-04-25,84.95,88.55,83.00,85.25,114900,82.69
2007-04-24,88.65,88.80,83.40,84.95,173300,82.39
2007-04-23,90.10,91.00,88.00,89.00,107500,86.32
2007-04-20,89.05,90.60,88.25,90.30,87900,87.58
2007-04-19,89.00,90.00,87.15,89.10,38600,86.42
2007-04-18,90.85,91.20,89.10,90.00,62400,87.29
2007-04-17,90.15,90.75,88.15,90.45,42700,87.73
2007-04-16,91.20,91.20,89.00,90.15,39600,87.44
2007-04-13,90.90,91.60,90.90,91.10,68700,88.36
2007-04-12,91.20,91.50,90.75,91.10,57000,88.36
2007-04-11,91.40,91.50,90.55,91.05,52900,88.31
2007-04-10,91.50,92.30,90.50,90.95,102000,88.21
2007-04-05,90.85,91.95,90.00,91.50,85500,88.75
2007-04-04,90.50,90.95,90.00,90.50,110400,87.78
2007-04-03,90.00,90.65,87.10,90.20,106300,87.49
2007-04-02,88.45,89.90,87.90,89.60,132600,86.90
2007-03-30,88.40,88.95,85.50,88.45,88500,85.79
2007-03-29,87.00,88.15,85.05,87.60,83200,84.96
2007-03-28,87.40,88.05,85.25,86.25,87800,83.66
2007-03-27,86.90,88.10,86.90,87.05,103200,84.43
2007-03-26,86.95,89.50,86.00,86.80,159000,84.19
2007-03-23,86.80,87.00,85.90,86.80,106700,84.19
2007-03-22,87.10,87.10,86.20,86.40,112900,83.80
2007-03-21,87.15,87.15,85.85,86.70,57100,84.09
2007-03-20,86.50,86.70,85.50,86.70,76500,84.09
2007-03-19,86.50,86.80,85.75,86.60,107000,83.99
2007-03-16,85.90,86.40,85.10,86.40,130600,83.80
2007-03-15,86.20,86.80,85.25,86.25,88500,83.66
2007-03-14,85.30,86.40,83.90,86.05,133200,83.46
2007-03-13,86.55,86.80,85.35,86.15,238900,83.56
2007-03-12,86.35,88.90,85.60,86.85,92900,84.24
2007-03-09,86.45,86.80,85.35,86.50,68800,83.90
2007-03-08,86.20,86.80,85.60,86.25,197600,83.66
2007-03-07,86.50,86.50,85.25,85.80,176700,83.22
2007-03-06,86.10,86.50,84.50,86.25,172800,83.66
2007-03-05,84.70,86.00,83.50,86.00,264100,83.41
2007-03-02,86.60,87.20,84.10,85.65,263100,83.07
2007-03-01,87.10,90.00,84.00,85.00,215200,82.44
2007-02-28,88.50,90.00,85.00,87.55,386100,84.92
2007-02-27,91.10,93.00,88.55,89.85,385700,87.15
2007-02-26,99.00,99.85,92.15,93.70,327200,90.88
2007-02-23,103.50,104.80,100.65,101.60,527200,98.54
2007-02-22,102.55,107.00,99.75,107.00,2434100,103.78
2007-02-21,98.95,107.95,94.80,107.95,2604000,104.70
2007-02-16,119.70,119.75,117.10,117.85,99100,114.30
2007-02-15,119.70,120.45,119.00,119.35,30300,115.76
2007-02-14,120.75,120.75,118.40,120.10,167500,116.49
2007-02-13,116.90,121.00,116.45,120.05,1141600,116.44
2007-02-12,116.35,117.60,113.70,116.80,1369600,113.29
2007-02-09,122.50,122.50,116.40,117.60,101100,114.06
2007-02-08,122.40,123.00,115.25,119.70,81100,116.10
2007-02-07,123.25,123.45,122.25,123.10,36900,119.40
2007-02-06,123.00,123.30,122.00,123.00,49700,119.30
2007-02-05,122.45,123.30,122.00,123.25,1043400,119.54
2007-02-02,122.75,123.30,122.00,123.20,50400,119.49
2007-02-01,123.15,123.65,122.20,122.50,65600,118.81
2007-01-31,122.50,123.40,121.20,122.50,92400,118.81
2007-01-30,123.40,125.10,120.55,123.00,194100,118.33
2007-01-29,123.20,123.30,121.70,123.20,89500,118.52
2007-01-26,124.00,124.00,122.25,123.10,3140300,118.43
2007-01-25,123.55,124.15,122.90,124.05,902300,119.34
2007-01-24,123.45,124.50,122.90,123.95,2075600,119.24
2007-01-23,125.10,125.15,123.25,123.75,1987700,119.05
2007-01-22,126.20,127.20,125.25,125.60,55900,120.83
2007-01-19,121.30,125.70,121.25,124.70,59300,119.97
2007-01-18,122.20,123.70,121.50,121.85,3060800,117.22
2007-01-17,123.75,124.95,122.00,122.60,27900,117.94
2007-01-16,126.05,126.80,123.05,123.75,34700,119.05
2007-01-15,124.00,126.95,123.95,125.10,45800,120.35
2007-01-12,120.85,123.70,120.85,123.70,1676700,119.00
2007-01-11,121.50,123.30,119.50,121.45,2021300,116.84
2007-01-10,123.00,124.15,121.10,121.50,113300,116.89
2007-01-09,124.20,125.50,123.00,124.10,126000,119.39
2007-01-08,123.70,125.45,122.60,123.20,29300,118.52
2007-01-05,126.30,127.10,123.00,124.25,53300,119.53
2007-01-04,133.40,133.40,130.40,132.50,86300,127.47
2007-01-03,133.20,133.95,132.10,133.50,51500,128.43
2007-01-02,128.10,133.90,126.45,133.50,78400,128.43
2006-12-29,129.00,129.00,126.50,128.50,56300,123.62
2006-12-28,127.70,129.00,127.60,128.00,35300,123.14
2006-12-27,128.00,130.00,127.50,128.50,71000,123.62
2006-12-22,129.80,131.70,127.00,129.95,81400,125.02
2006-12-21,130.65,131.85,129.15,130.80,30500,125.83
2006-12-20,130.65,132.75,129.50,129.80,46800,124.87
2006-12-19,134.20,134.35,129.15,129.70,61500,124.78
2006-12-18,132.60,136.00,132.30,134.95,5442100,129.83
2006-12-15,130.00,137.00,129.00,133.50,174300,128.43
2006-12-14,129.50,130.00,128.50,129.30,16600,124.39
2006-12-13,129.40,130.00,128.40,129.70,44600,124.78
2006-12-12,128.50,130.50,127.70,129.75,46100,124.82
2006-12-11,127.75,129.90,126.55,129.00,75800,124.10
2006-12-08,129.05,129.60,126.70,127.75,101100,122.90
2006-12-07,130.00,131.45,127.75,129.50,56300,124.58
2006-12-06,131.10,133.00,129.90,130.00,48500,125.06
2006-12-05,132.30,134.40,130.25,132.05,67300,127.04
2006-12-04,128.50,131.40,128.30,131.20,42900,126.22
2006-12-01,132.05,132.95,129.05,129.50,51000,124.58
2006-11-30,129.75,134.35,129.50,131.95,136300,126.94
