Date,Open,High,Low,Close,Volume,Adj Close
2007-11-22,29.31,29.39,28.50,28.99,233000,28.99
2007-11-21,29.35,29.90,28.51,29.04,514700,29.04
2007-11-20,29.88,30.22,29.28,29.91,428500,29.91
2007-11-19,30.09,30.90,29.36,29.80,663600,29.80
2007-11-16,29.12,30.40,29.10,30.09,559700,30.09
2007-11-15,29.73,30.16,29.02,29.47,393100,29.47
2007-11-14,30.49,30.60,29.71,29.83,610000,29.83
2007-11-13,29.22,30.42,28.76,29.72,620300,29.72
2007-11-12,28.71,29.39,28.70,29.23,378900,29.23
2007-11-09,30.63,30.95,28.87,29.08,400300,29.08
2007-11-08,30.28,30.55,29.02,30.39,626400,30.39
2007-11-07,31.17,31.69,30.40,30.76,316200,30.76
2007-11-06,31.40,31.69,31.05,31.10,285800,31.10
2007-11-05,32.19,32.59,31.11,31.22,472400,31.22
2007-11-02,31.76,32.74,31.50,32.28,514800,32.28
2007-11-01,32.63,33.23,31.50,31.89,574500,31.89
2007-10-31,32.28,32.90,32.14,32.44,578200,32.44
2007-10-30,32.82,32.82,31.83,32.11,667000,32.11
2007-10-29,31.59,33.33,31.50,32.64,1098500,32.64
2007-10-26,30.57,31.47,30.57,31.13,625600,31.13
2007-10-25,30.50,31.77,30.26,30.54,1369100,30.54
2007-10-24,28.73,32.00,28.45,30.36,1563300,30.36
2007-10-23,27.92,28.98,27.85,28.74,784800,28.74
2007-10-22,26.93,27.69,26.70,27.44,774100,27.44
2007-10-19,27.16,27.71,26.94,27.50,751900,27.50
2007-10-18,28.06,28.77,27.20,27.32,619200,27.32
2007-10-17,27.06,28.22,27.00,28.06,706800,28.06
2007-10-16,27.39,27.80,26.88,27.25,643200,27.25
2007-10-15,27.92,28.79,27.50,27.40,454800,27.40
2007-10-12,28.11,28.40,27.76,28.00,534600,28.00
2007-10-11,28.78,29.14,28.03,28.29,525000,28.29
2007-10-10,29.35,29.50,28.38,28.57,738700,28.57
2007-10-09,28.02,29.15,27.75,29.15,530200,29.15
2007-10-08,28.35,28.96,27.90,27.92,351700,27.92
2007-10-05,28.58,28.63,27.72,28.34,584600,28.34
2007-10-04,28.50,28.50,27.85,28.45,653000,28.45
2007-10-03,27.90,28.40,27.38,28.28,580500,28.28
2007-10-02,27.00,28.10,26.26,27.76,1541300,27.76
2007-10-01,24.78,25.54,24.70,25.52,651400,25.52
2007-09-28,24.30,24.70,24.00,24.54,911300,24.54
2007-09-27,23.50,24.28,23.50,24.28,839000,24.28
2007-09-26,23.19,23.59,22.91,23.29,1062600,23.29
2007-09-25,23.51,23.69,23.04,23.15,900700,23.15
2007-09-24,23.80,23.95,23.50,23.53,1056900,23.53
2007-09-21,23.81,24.16,23.81,23.94,909400,23.94
2007-09-20,24.30,24.40,23.75,23.92,841500,23.92
2007-09-19,24.89,25.30,23.65,24.46,1189600,24.46
2007-09-18,22.75,24.32,22.75,24.09,952500,24.09
2007-09-17,24.27,24.50,22.46,22.96,1200000,22.96
2007-09-14,25.65,25.69,24.16,24.55,1011500,24.55
2007-09-13,26.19,26.30,25.60,25.87,551500,25.87
2007-09-12,26.90,26.90,26.06,26.37,564900,26.37
2007-09-11,26.50,27.18,26.50,26.90,733200,26.90
2007-09-10,25.88,26.68,25.23,26.25,982900,26.25
2007-09-07,27.08,27.30,25.86,26.01,1005900,26.01
2007-09-06,27.35,27.50,26.64,27.38,752700,27.38
2007-09-05,28.81,28.82,27.09,27.11,938400,27.11
2007-09-04,29.00,29.00,28.20,28.78,641200,28.78
2007-09-03,29.65,29.65,28.72,28.92,372100,28.92
2007-08-31,28.60,29.10,28.32,29.10,760700,29.10
2007-08-30,28.97,28.97,27.90,28.55,994300,28.55
2007-08-29,28.38,28.47,27.56,27.80,730000,27.80
2007-08-28,29.60,29.60,28.51,28.63,613600,28.63
2007-08-27,30.76,30.76,29.55,29.70,329500,29.70
2007-08-24,30.01,30.49,29.70,30.25,413000,30.25
2007-08-23,31.24,31.49,30.25,30.52,479900,30.52
2007-08-22,29.67,30.87,29.20,30.70,713900,30.70
2007-08-21,30.48,30.50,28.69,29.54,812200,29.54
2007-08-20,30.05,30.80,29.68,29.91,571400,29.91
2007-08-17,29.63,31.18,29.17,30.00,904500,30.00
2007-08-16,30.23,30.86,29.64,30.12,788700,30.12
2007-08-15,31.40,31.80,30.66,31.01,530700,31.01
2007-08-13,32.38,33.29,31.59,33.00,576300,33.00
2007-08-10,32.00,32.46,30.55,32.03,776700,32.03
2007-08-09,33.10,33.30,32.55,32.62,553500,32.62
2007-08-08,33.50,33.84,32.56,33.09,549100,33.09
2007-08-07,33.48,33.70,32.71,33.25,540200,33.25
2007-08-06,32.71,33.35,32.60,33.02,668900,33.02
2007-08-03,33.47,33.60,32.88,32.99,385200,32.99
2007-08-02,34.35,34.72,33.19,33.40,711400,33.40
2007-08-01,33.32,34.50,32.34,34.13,980800,34.13
2007-07-31,33.81,34.10,33.45,34.00,796900,34.00
2007-07-30,35.67,36.09,33.31,33.42,1075100,33.42
2007-07-27,35.01,35.95,34.80,35.52,776800,35.52
2007-07-26,36.60,37.48,35.77,35.77,796700,35.77
2007-07-25,36.81,37.46,36.71,36.84,594200,36.84
2007-07-24,38.49,38.70,36.81,37.40,594000,37.40
2007-07-23,37.45,38.64,36.88,38.12,819700,38.12
2007-07-20,39.18,39.20,37.26,37.45,1236600,37.45
2007-07-19,39.12,39.12,38.55,38.99,653600,38.99
2007-07-18,38.45,39.20,38.10,38.96,874300,38.96
2007-07-17,36.73,38.83,36.73,38.70,1338800,38.70
2007-07-16,35.85,37.20,35.85,37.20,887400,37.20
2007-07-13,36.50,36.50,35.85,36.35,584000,36.35
2007-07-12,35.50,36.20,34.57,36.20,921200,36.20
2007-07-11,34.50,35.30,34.07,35.00,815000,35.00
2007-07-10,35.11,35.83,34.07,35.15,1032700,35.15
2007-07-09,36.26,36.29,35.33,35.52,531100,35.52
2007-07-06,36.90,36.90,35.60,35.91,440100,35.91
2007-07-05,35.96,36.90,35.82,36.50,558200,36.50
2007-07-04,35.31,35.99,35.31,35.87,585800,35.87
2007-07-03,36.17,36.21,35.31,35.62,430900,35.62
2007-07-02,35.71,36.05,35.05,35.80,371800,35.80
2007-06-29,35.90,36.25,35.18,35.73,561400,35.73
2007-06-28,35.40,35.75,34.28,35.51,793000,35.51
2007-06-27,35.42,35.42,33.33,35.12,1703800,35.12
