Número de viviendas libres terminadas	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006
ANDA	45099	36624	28421	32355	23753	29515	31065	32666	48571	75122	102746	114530	117767	104746	99520	123799
ARAG	4873	4104	4328	6926	12237	8894	11718	8327	11960	14787	13479	14755	15395	11024	12675	12865
ASTU	4283	4341	3339	4851	2684	4057	3786	4128	4912	5274	6946	8920	8793	11385	11957	12764
BALE	13315	7312	5043	4525	2420	4145	5327	3663	5873	9706	12047	12090	11537	8888	10372	10172
CANA	12962	6239	5708	5025	5724	8285	9600	11796	18615	22883	25521	28194	24852	24835	23213	26286
CANT	1460	1966	2130	1916	1007	1980	3028	3011	3926	4111	8855	6519	7864	7680	5786	8864
CAST	10759	11612	11631	14034	12886	16413	20930	18050	19539	20820	31750	31686	25313	27667	30355	38232
CAMA	6606	5267	11476	13426	11352	12330	12389	11193	14868	14761	16438	17797	17433	22381	25190	36088
CATA	30526	31353	27343	27197	27584	33299	33679	47691	60432	65188	76538	72150	68798	86558	81441	80817
VALE	48612	25277	24472	22320	17182	21662	18780	20097	30285	41894	55408	60550	56039	69706	88043	84813
EXTR	1449	1644	1822	4558	3681	4402	4612	4426	5985	5640	6811	7105	9668	7825	8198	7621
GALI	10661	10755	9916	12021	6793	14282	15872	13788	18811	21841	25649	29824	26165	29345	29448	29998
MADR	13853	15360	15943	10982	14451	21176	33823	29017	26880	31631	34587	40134	42094	56256	58576	61621
MURC	12534	7044	6427	6248	3803	4944	4988	4797	7341	8402	11846	11592	13929	21054	23258	41876
NAVA	2390	2499	3272	2660	2767	3126	3257	2674	3391	3721	4867	4425	4386	4820	4577	5900
EUHE	5908	4342	7348	4322	5724	4321	8799	8555	11633	13260	14091	14974	7956	10417	11151	9794
RIOJ	1883	1863	1627	1080	1502	1692	2334	1719	2004	2393	3077	4233	3275	3620	4415	5434
CEUT	554	648	109	64	81	105	33	217	130	653	606	328	345	290	247	174
MELI	243	251	48	283	271	243	312	816	1094	853	990	923	1121	796	332	514
